"filename", "language", "Markdown", "JavaScript", "CSS", "JSON", "XML", "JSON with Comments", "comment", "blank", "total"
"c:\Users\Dev\Desktop\ClassHQ\.eslintrc.json", "JSON with Comments", 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\Dev\Desktop\ClassHQ\README.md", "Markdown", 20, 0, 0, 0, 0, 0, 0, 15, 35
"c:\Users\Dev\Desktop\ClassHQ\__test__\pages\EducatorDashboard\Authentication.test.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 1, 16
"c:\Users\Dev\Desktop\ClassHQ\__test__\pages\EducatorDashboard\Course.test.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 1, 16
"c:\Users\Dev\Desktop\ClassHQ\__test__\pages\EducatorDashboard\Dashboard.test.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Dev\Desktop\ClassHQ\__test__\pages\EducatorDashboard\ImageImport.test.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 1, 16
"c:\Users\Dev\Desktop\ClassHQ\__test__\pages\EducatorDashboard\LiveStream.test.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 6, 21
"c:\Users\Dev\Desktop\ClassHQ\__test__\pages\EducatorDashboard\Student.test.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 1, 16
"c:\Users\Dev\Desktop\ClassHQ\__test__\pages\EducatorDashboard\TemplateForm.test.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 1, 16
"c:\Users\Dev\Desktop\ClassHQ\__test__\pages\EducatorDashboard\Website.test.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 1, 16
"c:\Users\Dev\Desktop\ClassHQ\__test__\pages\EducatorDashboard\index.test.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 15
"c:\Users\Dev\Desktop\ClassHQ\components\AddCourse.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Dev\Desktop\ClassHQ\components\Course.js", "JavaScript", 0, 106, 0, 0, 0, 0, 8, 5, 119
"c:\Users\Dev\Desktop\ClassHQ\components\CourseModal.js", "JavaScript", 0, 496, 0, 0, 0, 0, 32, 16, 544
"c:\Users\Dev\Desktop\ClassHQ\components\ImageUploader.js", "JavaScript", 0, 69, 0, 0, 0, 0, 8, 17, 94
"c:\Users\Dev\Desktop\ClassHQ\components\LandingPage.js", "JavaScript", 0, 107, 0, 0, 0, 0, 0, 10, 117
"c:\Users\Dev\Desktop\ClassHQ\components\ManageLive.js", "JavaScript", 0, 100, 0, 0, 0, 0, 0, 6, 106
"c:\Users\Dev\Desktop\ClassHQ\components\Navbar.js", "JavaScript", 0, 135, 0, 0, 0, 0, 0, 4, 139
"c:\Users\Dev\Desktop\ClassHQ\components\Template1\Courses.js", "JavaScript", 0, 312, 0, 0, 0, 0, 3, 14, 329
"c:\Users\Dev\Desktop\ClassHQ\components\Template1\Template1.js", "JavaScript", 0, 796, 0, 0, 0, 0, 14, 34, 844
"c:\Users\Dev\Desktop\ClassHQ\components\Template1\Template1Modal.js", "JavaScript", 0, 376, 0, 0, 0, 0, 0, 23, 399
"c:\Users\Dev\Desktop\ClassHQ\components\Template1\css\owl.carousel.css", "CSS", 0, 0, 146, 0, 0, 0, 26, 15, 187
"c:\Users\Dev\Desktop\ClassHQ\components\Template1\css\owl.theme.default.min.css", "CSS", 0, 0, 1, 0, 0, 0, 5, 0, 6
"c:\Users\Dev\Desktop\ClassHQ\components\Template1\css\style.css", "CSS", 0, 0, 937, 0, 0, 0, 52, 212, 1201
"c:\Users\Dev\Desktop\ClassHQ\components\Template1\js\Jquery3.4.1.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1, 0, 2
"c:\Users\Dev\Desktop\ClassHQ\components\Template1\js\jquery.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1, 1, 3
"c:\Users\Dev\Desktop\ClassHQ\components\Template1\js\owl.carousel.js", "JavaScript", 0, 2002, 0, 0, 0, 0, 958, 489, 3449
"c:\Users\Dev\Desktop\ClassHQ\components\TemplateModal.js", "JavaScript", 0, 258, 0, 0, 0, 0, 17, 13, 288
"c:\Users\Dev\Desktop\ClassHQ\components\WebsiteManagement.js", "JavaScript", 0, 39, 0, 0, 0, 0, 2, 5, 46
"c:\Users\Dev\Desktop\ClassHQ\components\WebsiteModal.js", "JavaScript", 0, 461, 0, 0, 0, 0, 37, 5, 503
"c:\Users\Dev\Desktop\ClassHQ\firebase.js", "JavaScript", 0, 15, 0, 0, 0, 0, 8, 4, 27
"c:\Users\Dev\Desktop\ClassHQ\jest.config.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\Users\Dev\Desktop\ClassHQ\jest.setup.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Dev\Desktop\ClassHQ\next.config.js", "JavaScript", 0, 17, 0, 0, 0, 0, 1, 2, 20
"c:\Users\Dev\Desktop\ClassHQ\package-lock.json", "JSON", 0, 0, 0, 18123, 0, 0, 0, 1, 18124
"c:\Users\Dev\Desktop\ClassHQ\package.json", "JSON", 0, 0, 0, 50, 0, 0, 0, 1, 51
"c:\Users\Dev\Desktop\ClassHQ\pages\EducatorDashboard\[id]\Course.js", "JavaScript", 0, 356, 0, 0, 0, 0, 25, 9, 390
"c:\Users\Dev\Desktop\ClassHQ\pages\EducatorDashboard\[id]\LiveStreaming\X.js", "JavaScript", 0, 100, 0, 0, 0, 0, 4, 9, 113
"c:\Users\Dev\Desktop\ClassHQ\pages\EducatorDashboard\[id]\LiveStreaming\[Live].js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 5, 18
"c:\Users\Dev\Desktop\ClassHQ\pages\EducatorDashboard\[id]\LiveStreaming\index.js", "JavaScript", 0, 106, 0, 0, 0, 0, 0, 16, 122
"c:\Users\Dev\Desktop\ClassHQ\pages\EducatorDashboard\[id]\Reviews.js", "JavaScript", 0, 146, 0, 0, 0, 0, 4, 11, 161
"c:\Users\Dev\Desktop\ClassHQ\pages\EducatorDashboard\[id]\Show\index.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 3, 16
"c:\Users\Dev\Desktop\ClassHQ\pages\EducatorDashboard\[id]\Subscription.js", "JavaScript", 0, 372, 0, 0, 0, 0, 9, 10, 391
"c:\Users\Dev\Desktop\ClassHQ\pages\EducatorDashboard\[id]\Templates.js", "JavaScript", 0, 130, 0, 0, 0, 0, 1, 8, 139
"c:\Users\Dev\Desktop\ClassHQ\pages\EducatorDashboard\[id]\index.js", "JavaScript", 0, 90, 0, 0, 0, 0, 52, 10, 152
"c:\Users\Dev\Desktop\ClassHQ\pages\EducatorDashboard\index.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Dev\Desktop\ClassHQ\pages\Login.js", "JavaScript", 0, 39, 0, 0, 0, 0, 6, 4, 49
"c:\Users\Dev\Desktop\ClassHQ\pages\_app.js", "JavaScript", 0, 16, 0, 0, 0, 0, 2, 3, 21
"c:\Users\Dev\Desktop\ClassHQ\pages\api\auth\[...nextauth].js", "JavaScript", 0, 21, 0, 0, 0, 0, 2, 5, 28
"c:\Users\Dev\Desktop\ClassHQ\pages\api\hello.js", "JavaScript", 0, 3, 0, 0, 0, 0, 1, 2, 6
"c:\Users\Dev\Desktop\ClassHQ\pages\index.js", "JavaScript", 0, 71, 0, 0, 0, 0, 6, 14, 91
"c:\Users\Dev\Desktop\ClassHQ\postcss.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Dev\Desktop\ClassHQ\public\dashboard.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Dev\Desktop\ClassHQ\public\girl.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Dev\Desktop\ClassHQ\public\vercel.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 4
"c:\Users\Dev\Desktop\ClassHQ\styles\Home.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Dev\Desktop\ClassHQ\styles\globals.css", "CSS", 0, 0, 25, 0, 0, 0, 0, 1, 26
"c:\Users\Dev\Desktop\ClassHQ\tailwind.config.js", "JavaScript", 0, 76, 0, 0, 0, 0, 1, 1, 78
"c:\Users\Dev\Desktop\ClassHQ\tests\pages\Educatordashboard\Authentication-test.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 4, 18
"c:\Users\Dev\Desktop\ClassHQ\tests\pages\Educatordashboard\Course-test.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 4, 15
"c:\Users\Dev\Desktop\ClassHQ\tests\pages\Educatordashboard\Dashboard-test.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 6, 25
"c:\Users\Dev\Desktop\ClassHQ\tests\pages\Educatordashboard\ImageImport-test.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 5, 15
"c:\Users\Dev\Desktop\ClassHQ\tests\pages\Educatordashboard\Livestream-test.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 4, 18
"c:\Users\Dev\Desktop\ClassHQ\tests\pages\Educatordashboard\Student-test.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 6, 32
"c:\Users\Dev\Desktop\ClassHQ\tests\pages\Educatordashboard\TemplateForm-test.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 4, 18
"c:\Users\Dev\Desktop\ClassHQ\tests\pages\Educatordashboard\Webiste-test.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 5, 18
"c:\Users\Dev\Desktop\ClassHQ\tests\pages\Educatordashboard\index-test.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 4, 18
"Total", "-", 20, 7133, 1109, 18174, 5, 3, 1286, 1067, 28797